,urls,status_code,tinken_title,tinken_model,key,value,breadcrumb,data_sheet
0,https://www.mrosupply.com/clutches-and-brakes/2130422_1082061w2zbf_stearns/,200,Stearns 1082061W2ZBF DNR-Brake Assembly-INT 8026823,MODEL 1082061W2ZBF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
1,https://www.mrosupply.com/clutches-and-brakes/2130425_108206202nqf_stearns/,200,Stearns 108206202NQF DNR-SVR-Brake Assembly-STD 8089393,MODEL 108206202NQF,[],[],"['Clutches and Brakes', 'Magnetic Clutches & Brakes', 'Magnetic Brakes']",
2,https://www.mrosupply.com/clutches-and-brakes/2130433_108206202slf_stearns/,200,Stearns 108206202SLF DNR-Brake Assembly-STD 8026847,MODEL 108206202SLF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
3,https://www.mrosupply.com/clutches-and-brakes/2130463_108206502003_stearns/,200,STEARNS 108206502003 DNR-THERMOSTATSOL ACT SW 124868,MODEL 108206502003,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
4,https://www.mrosupply.com/clutches-and-brakes/2130625_108265200016_stearns/,200,STEARNS 108265200016 VASURGE SUPPHTRSW-IT 211908,MODEL 108265200016,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
5,https://www.mrosupply.com/clutches-and-brakes/2144927_333944k00hb1_stearns/,200,STEARNS 333944K00HB1 BRAKE 333-9 CVR MMR 167472,MODEL 333944K00HB1,[],[],"['Clutches and Brakes', 'Magnetic Clutches & Brakes', 'Magnetic Brakes']",
6,https://www.mrosupply.com/clutches-and-brakes/2144977_36193mh50jm2_stearns/,200,STEARNS 36193MH50JM2 BRK 3619 274#FT SW HTR 156664,MODEL 36193MH50JM2,[],[],"['Clutches and Brakes', 'Magnetic Clutches & Brakes', 'Magnetic Brakes']",
7,https://www.mrosupply.com/clutches-and-brakes/2128288_108101202096_stearns/,200,STEARNS 108101202096 CRANE DUTY-DBL C FACE6 8007269,MODEL 108101202096,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
8,https://www.mrosupply.com/clutches-and-brakes/2128914_108103202tlf_stearns/,200,Stearns 108103202TLF Brake Assembly-STD 8026355,MODEL 108103202TLF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
9,https://www.mrosupply.com/clutches-and-brakes/2128872_1081032a2rqf_stearns/,200,Stearns 1081032A2RQF Brake Assembly-INT 8026343,MODEL 1081032A2RQF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
